case_number,species,nez_taille_oeil,nez_longueur_museau,nez_largeur_museau,nez_epaisseur,gueule_taille_dent,gueule_ecart_machoire,aileronHaut_longueur,aileronHaut_largeur,tronc_longueur,tronc_epaisseur,tronc_largeur,aileronBas_longueur,aileronBas_largeur,queue_taille_aileron,queue_longueur,aileronArriere_longueur,aileronArriere_largeur,bas_longueur,bas_epaisseur,bas_largeur
2018.12.18,tiger shark,9.2,11.17,2.46,5.09,4.4,73.19,16.01,3.04,7.44,3.99,3.57,18.57,3.83,19.56,19.59,2.84,2.14,5.17,5.31,7.42
2018.12.15.b,wobbegong shark,4.13,9.55,4.35,13.43,4.75,63.65,17.99,8.64,5.14,6.39,6.87,13.57,4.74,6.66,22.01,4.55,3.66,3.13,3.34,5.93
2018.12.15.a,mako shark,7.8,13.4,12.2,10.61,2.15,96.78,6.63,8.06,5.53,6.95,9.46,18.58,2.64,13.48,17.5,1.96,3.36,9.13,3.21,2.03
2018.11.28,wobbegong shark,6.26,13.02,14.47,1.44,2.07,97.89,18.91,8.8,4.25,2.59,2.47,6.67,7.48,14.06,23.01,1.45,1.84,2.69,4.21,4.55
2018.11.18,reef shark,7.62,13.4,4.56,12.24,1.81,22.45,8.49,7.94,8.12,1.45,5.25,11.86,5.71,14.34,24.94,3.35,3.79,9.5,5.15,4.26
2018.11.14,tiger shark,7.48,14.83,12.94,4.97,3.92,52.09,15.29,8.03,3.54,4.74,9.55,14.0,8.53,19.89,16.87,5.58,3.57,8.79,3.65,2.5
2018.11.11.b,white shark,4.22,14.1,8.98,8.73,4.3,90.3,17.38,3.68,7.75,2.9,8.14,8.98,4.22,7.85,22.01,4.08,2.18,3.37,4.29,7.28
2018.11.11.a,sandtiger shark,8.86,12.67,12.52,12.0,3.07,71.6,15.58,3.75,3.24,5.86,8.83,19.44,3.41,19.23,21.56,3.35,1.44,3.57,3.93,3.93
2018.11.09,nurse shark,8.81,7.77,6.74,8.53,1.95,35.14,11.3,8.99,6.37,5.06,8.72,11.93,3.4,5.28,18.77,4.59,1.88,2.94,4.95,5.32
2018.11.03,oceanic whitetip shark,4.85,14.39,3.06,12.04,2.32,84.98,6.75,3.07,2.48,7.11,3.74,8.75,8.86,12.99,5.28,4.28,3.95,4.63,4.73,2.76
2018.10.23.a,white shark,9.65,7.18,9.33,12.17,2.5,70.59,7.97,3.7,2.71,4.06,8.34,16.31,8.7,16.82,20.69,1.9,1.21,3.01,1.18,6.13
2018.10.19.b,bull shark,3.39,10.0,8.1,5.61,4.18,84.85,19.16,8.82,3.11,4.92,4.11,11.34,3.42,6.85,7.49,5.88,3.97,8.53,2.04,6.66
2018.10.19.a,white shark,2.72,10.46,10.58,12.69,2.2,56.79,8.54,2.69,2.56,3.0,4.96,6.16,5.21,18.2,26.92,2.44,1.54,5.84,2.02,4.21
2018.10.13,white shark,5.35,11.43,11.01,14.37,2.49,95.45,19.21,5.21,8.67,7.31,2.57,8.13,2.55,17.24,22.59,3.87,1.89,5.24,2.39,2.59
2018.10.11,spinner shark,6.75,8.65,12.38,9.7,2.0,59.7,18.44,6.76,7.69,5.12,8.53,17.22,5.3,19.95,29.11,4.11,3.44,2.45,3.86,6.4
2018.10.08,reef shark,8.27,5.78,4.06,11.54,2.6,77.1,8.8,4.55,8.04,6.01,6.5,7.35,8.61,5.9,9.45,3.33,3.18,5.08,1.67,6.04
2018.09.29,white shark,9.21,13.64,6.46,7.71,4.63,41.23,9.34,3.57,5.41,2.34,5.42,16.71,5.34,5.23,14.78,1.59,2.06,9.56,4.87,5.53
2018.09.28,bull shark,5.11,12.88,4.99,7.01,1.85,46.49,8.31,8.41,7.29,4.0,8.94,6.48,3.0,13.82,24.35,4.27,2.82,8.09,2.48,3.47
2018.08.27,white shark,4.96,8.39,13.85,14.43,3.5,23.5,16.35,4.45,7.8,3.97,7.51,16.69,5.66,17.59,5.03,4.12,3.36,5.84,1.88,2.77
2018.09.23,blacktip shark,7.4,8.13,9.34,2.33,2.25,81.96,19.02,6.8,6.51,5.29,4.86,15.48,7.56,19.84,13.12,1.32,3.42,8.83,5.68,5.03
2018.09.15,white shark,2.62,12.11,13.59,12.35,4.77,96.61,7.85,4.38,6.88,3.95,4.61,13.73,7.44,15.23,26.81,4.79,3.96,4.15,4.24,7.49
2018.09.08.a,tiger shark,7.8,8.58,10.52,8.32,2.3,58.96,9.27,8.3,2.56,1.88,2.58,6.6,9.5,14.0,25.51,1.16,2.47,4.44,2.95,7.14
2018.09.01,blue shark,9.06,5.65,14.27,14.23,4.34,23.58,14.09,2.56,6.69,7.62,6.08,17.44,6.57,14.09,12.34,4.89,3.53,8.84,1.45,4.17
2018.08.28.R,lemon shark,1.65,10.22,4.06,13.2,2.29,51.27,17.43,2.32,7.26,7.82,4.54,12.36,7.44,6.13,20.93,3.84,2.86,2.04,1.13,2.13
2018.08.20,reef shark,2.28,5.34,7.58,5.91,5.06,23.73,12.47,2.34,3.28,4.49,3.81,6.06,2.61,5.63,8.58,5.55,2.61,8.44,3.99,5.99
2018.08.15.c,nurse shark,6.36,13.94,10.9,4.54,3.69,82.05,9.23,8.77,6.9,1.78,6.5,16.58,6.27,9.83,6.33,5.26,3.65,8.2,2.07,6.04
2018.08.15.a,white shark,8.38,12.6,5.48,9.58,1.89,31.11,12.7,9.06,6.46,2.74,9.74,17.25,2.62,16.45,14.26,2.46,1.38,7.39,5.36,4.06
2018.08.09,bull shark,2.12,13.14,12.62,1.48,2.36,78.16,17.92,7.94,2.15,1.79,8.71,5.28,9.95,16.41,12.82,4.3,2.44,7.78,4.87,4.35
2018.08.05.b,blacktip shark,3.87,13.5,8.75,4.46,3.49,76.26,14.53,9.81,5.7,5.74,3.33,7.23,4.03,17.04,11.49,5.94,3.35,9.58,5.48,7.85
2018.08.03,tiger shark,9.81,14.1,5.99,6.62,3.42,50.23,5.91,8.63,5.91,3.31,9.72,9.79,6.06,6.89,18.96,2.0,1.98,6.49,5.23,2.96
2018.07.18.b,sandtiger shark,2.66,5.55,7.85,6.14,4.77,32.95,5.67,7.01,6.82,5.31,7.43,5.64,6.28,11.44,21.35,2.92,2.4,6.08,1.11,4.81
2018.07.18.a,sandtiger shark,8.01,5.98,11.69,5.57,1.85,81.97,16.56,8.56,2.28,3.56,2.29,14.08,5.33,16.36,5.46,5.22,1.5,2.35,4.73,2.04
2018.07.14.b,salmon shark,9.36,8.63,12.24,6.49,3.5,43.51,6.83,5.63,3.54,3.55,7.2,13.86,5.05,18.05,27.33,4.58,2.36,9.93,4.88,7.88
2018.07.09.R,nurse shark,1.3,14.4,12.25,14.8,1.94,56.6,19.48,4.81,7.34,1.09,5.14,6.66,3.37,15.22,27.02,5.91,3.71,5.33,4.84,5.14
2018.07.07,barracuda,4.15,5.69,13.94,2.44,4.19,30.45,18.57,7.24,6.28,2.06,4.54,8.94,7.82,16.36,13.77,2.29,3.56,7.87,4.06,4.41
2018.06.25,white shark,8.19,11.59,5.93,5.16,1.54,52.17,13.36,4.62,4.59,6.64,7.98,13.21,9.21,11.47,14.3,3.06,2.11,2.71,2.12,7.51
2018.06.18.b,nurse shark,1.7,9.84,9.36,6.21,3.98,99.2,18.79,7.08,5.16,3.54,8.24,7.63,2.07,6.29,25.02,5.44,1.99,3.66,4.8,4.99
2018.06.04,tiger shark,1.66,12.2,3.91,7.61,4.29,73.31,9.85,5.59,3.07,1.87,7.97,15.4,5.63,17.15,22.44,4.09,2.39,4.59,3.35,6.86
2018.06.03.a,tiger shark,2.95,12.56,4.24,3.24,3.9,28.87,5.67,8.91,5.4,1.84,6.12,12.32,7.79,15.79,24.67,5.8,1.68,9.53,5.53,2.92
2018.06.00,oceanic whitetip shark,7.86,5.05,9.16,4.27,1.42,45.91,7.38,4.26,9.17,3.79,6.77,18.2,4.46,11.94,7.0,4.88,3.77,5.73,4.35,5.38
2018.05.27,lemon shark,2.83,6.32,10.08,14.46,2.3,99.28,9.06,4.61,2.52,5.6,5.77,11.69,9.46,11.42,19.74,5.37,2.31,3.51,1.26,3.17
2018.05.26.b,bull shark,8.64,7.64,6.53,9.28,2.39,59.05,12.48,5.13,5.04,1.28,6.71,11.51,3.3,7.73,22.89,2.37,1.77,2.46,4.76,3.16
2018.05.24,grey reef shark,3.21,8.8,6.51,3.93,4.36,47.7,5.7,4.71,4.41,6.55,6.46,9.89,7.09,10.82,20.39,1.33,2.93,8.44,4.39,2.3
2018.05.00,tawny nurse shark,9.89,8.18,5.92,3.51,2.56,89.53,8.87,9.74,7.49,4.15,3.37,14.11,5.49,8.71,15.42,1.78,2.85,8.03,4.07,6.25
2018.04.28.c,sandtiger shark,3.6,11.06,14.69,6.31,3.72,70.91,16.22,7.6,9.0,6.58,2.3,16.35,7.44,10.59,22.26,3.63,1.52,2.31,4.09,3.95
2018.04.28.b,tiger shark,1.42,6.12,12.5,2.34,2.67,46.23,5.43,8.81,8.59,1.53,2.35,9.67,5.23,19.22,9.44,5.26,3.65,7.7,2.34,6.38
2018.04.24,white shark,7.83,10.5,3.9,14.46,1.8,29.62,13.74,9.6,9.04,5.29,6.91,14.22,8.55,6.62,19.52,5.13,3.89,2.63,2.27,4.68
2018.04.23,tiger shark,8.67,12.48,4.57,9.61,3.05,74.96,6.0,8.66,7.11,6.05,9.24,16.67,3.91,14.59,19.01,5.33,3.62,4.77,1.29,5.08
2018.04.22,white shark,7.96,9.58,12.43,2.72,3.5,88.39,15.61,4.03,6.14,4.36,8.82,19.44,3.02,19.14,10.06,5.24,1.59,6.05,5.77,7.78
2018.04.15.d,bull shark,5.82,10.18,8.09,11.61,3.78,74.12,9.61,4.39,8.44,6.26,6.21,13.39,4.3,15.18,7.53,2.78,2.02,2.88,5.43,7.22
2018.04.14,tiger shark,3.04,11.32,2.49,7.4,4.91,51.92,18.17,3.44,9.58,3.08,2.32,19.25,3.83,16.25,13.19,3.1,3.25,4.49,5.65,4.18
2018.04.05,bull shark,8.43,6.67,10.35,8.12,5.05,67.09,12.41,4.79,8.88,2.5,3.76,17.11,6.41,12.75,27.68,4.79,3.25,7.2,2.98,7.51
2018.04.03,white shark,8.89,5.23,10.99,9.68,4.26,81.18,11.91,2.32,7.05,6.47,7.21,15.94,5.93,10.45,5.45,4.83,2.47,4.84,5.28,7.05
2018.03.31,tiger shark,2.55,8.61,13.78,9.54,3.76,31.71,18.6,9.56,2.14,4.87,6.03,19.87,6.16,5.63,21.73,4.25,3.88,9.05,2.36,2.18
2018.03.14,wobbegong shark,6.51,5.97,4.79,14.21,4.01,51.28,9.71,5.37,6.97,3.63,9.28,11.57,5.21,8.75,17.65,3.92,1.88,8.06,5.83,3.84
2018.02.24,blacktip shark,2.05,6.1,8.84,12.75,4.73,24.15,9.16,8.05,8.15,4.65,9.46,8.49,6.95,5.17,6.81,5.1,1.55,8.56,1.56,4.13
2018.02.23,white shark,7.95,12.81,8.26,1.13,4.41,24.87,18.37,5.1,2.79,6.06,5.89,15.9,6.27,10.68,12.11,2.66,3.6,3.14,5.21,2.33
2018.02.15,bull shark,2.36,5.77,5.86,6.35,1.68,30.16,18.23,7.59,8.04,5.6,9.75,6.01,2.19,6.11,16.01,3.75,3.94,3.35,4.91,5.31
2018.02.11,eel,7.18,6.11,10.65,1.67,3.75,85.91,7.56,9.59,3.62,3.65,2.36,8.96,8.25,16.36,22.24,1.42,1.62,8.87,1.9,4.16
2018.02.03,galapagos shark,9.36,5.9,8.63,6.93,1.9,28.78,16.3,7.86,8.3,7.11,4.26,5.07,5.91,10.02,23.45,3.17,3.12,5.32,4.49,5.71
2018.01.28,bull shark,7.38,7.51,5.85,6.82,2.35,35.2,7.65,9.43,3.55,1.31,7.63,8.11,9.59,5.43,20.14,4.39,1.31,3.78,5.92,4.6
2018.01.21,bull shark,1.13,12.42,13.13,9.48,3.33,25.95,19.29,5.11,2.53,3.59,7.22,12.44,9.28,5.97,16.75,5.22,1.72,4.35,5.36,2.31
2018.01.14,grey reef shark,1.95,6.68,2.8,2.27,4.74,40.19,12.04,7.48,8.89,1.15,2.43,14.1,3.04,14.83,23.84,2.02,1.12,6.66,5.76,5.83
2018.01.13,white shark,7.94,7.12,13.6,7.89,2.88,49.36,17.21,2.81,3.59,2.39,3.24,13.72,8.28,17.95,19.45,2.13,2.62,2.84,3.68,7.11
2018.01.05,wobbegong shark,8.19,13.34,10.54,4.08,2.89,80.83,5.75,2.84,4.17,2.57,5.97,13.42,7.41,10.28,12.04,5.3,3.44,5.04,3.11,2.64
2017.12.31,tiger shark,4.79,9.09,11.76,10.63,3.02,96.51,18.61,9.53,2.57,7.97,5.25,13.41,9.08,14.95,29.03,2.75,3.84,4.3,3.64,6.3
2017.12.21,nurse shark,1.46,6.43,9.64,7.92,4.19,50.41,18.97,4.26,9.53,6.52,8.77,7.71,8.51,17.24,29.62,5.91,3.32,8.6,3.21,7.02
2017.12.09,nurse shark,4.27,8.65,8.18,7.76,4.63,87.73,10.9,9.88,8.18,4.31,5.82,10.2,6.7,5.89,14.71,2.45,3.72,9.31,4.99,7.95
2017.11.30.b,tiger shark,3.89,6.75,13.46,10.63,2.02,21.01,11.96,7.52,6.85,2.83,6.02,17.39,4.21,19.89,25.91,5.91,2.03,3.31,4.01,6.53
2017.11.30.a,tiger shark,6.71,14.93,5.67,3.92,2.82,29.18,5.35,2.73,3.62,2.13,3.01,11.95,2.02,11.28,16.31,4.68,3.05,2.2,4.61,4.29
2017.11.25.R,blue shark,6.57,9.34,7.13,2.6,2.6,92.47,12.61,6.76,5.23,4.25,3.88,14.86,5.91,5.61,10.12,5.16,1.11,2.35,1.62,7.79
2017.11.24,white shark,9.39,11.87,11.99,14.23,4.52,32.63,8.43,2.11,5.61,2.97,6.07,7.13,5.81,12.71,21.69,5.58,3.16,9.45,1.72,5.25
2017.11.04,tiger shark,8.91,7.91,3.27,6.75,4.2,76.7,6.39,9.3,2.26,6.35,8.57,18.53,2.03,16.78,19.04,3.82,3.74,6.2,5.78,2.6
2017.10.31.R,cookiecutter shark,3.86,13.17,7.75,7.53,1.98,87.92,12.07,2.94,5.02,2.89,5.85,9.6,4.24,18.34,18.86,2.46,3.26,8.38,5.31,3.03
2017.10.28,wobbegong shark,2.34,5.37,5.99,2.4,1.99,41.29,16.7,7.36,5.8,1.49,5.07,19.54,3.88,12.95,29.5,3.01,3.82,5.98,4.54,5.87
2017.10.22,white shark,4.88,8.45,13.4,13.39,3.06,99.09,18.58,8.9,5.79,3.56,4.85,9.26,9.6,13.21,18.66,2.72,3.85,4.62,1.78,5.06
2017.10.18,spinner shark,8.02,13.38,6.31,5.68,1.74,41.39,10.89,3.26,2.34,4.13,8.33,10.38,8.4,19.81,27.0,2.78,1.82,8.71,2.56,5.05
2017.10.09,tiger shark,6.6,8.07,7.64,14.12,3.75,45.34,12.08,4.78,4.63,5.86,8.31,11.8,9.17,19.56,18.74,5.17,3.67,8.88,4.0,2.33
2017.09.25.a,white shark,1.75,9.67,4.09,14.2,2.43,50.79,6.06,7.32,3.33,7.62,5.54,13.48,9.43,6.08,18.46,5.91,2.42,5.09,5.69,5.5
2017.09.14,white shark,5.06,12.19,7.8,6.37,3.35,51.36,18.83,8.71,8.06,2.28,6.02,10.44,6.2,8.62,13.85,3.96,3.88,9.31,4.81,3.2
2017.09.10.a,white shark,5.41,8.62,2.22,2.68,4.24,31.43,10.32,9.63,9.67,2.23,6.37,18.91,7.38,17.99,20.21,2.95,3.88,8.97,4.49,3.25
2017.09.02.c,nurse shark,1.05,12.2,11.0,2.35,1.47,37.87,19.74,3.67,9.73,4.42,3.73,18.59,6.6,15.63,5.82,5.94,1.16,3.73,2.06,6.15
2017.08.29,white shark,8.79,8.58,4.84,13.26,3.52,38.05,11.3,6.98,7.7,2.56,9.72,8.69,3.71,13.02,19.77,3.19,2.3,5.06,4.39,4.02
2017.08.23,white shark,9.64,5.91,7.49,13.74,2.98,57.11,16.31,7.21,9.3,4.83,10.0,14.97,7.69,16.88,11.23,4.33,2.78,6.79,4.85,7.36
2017.08.10,blacktip shark,2.4,6.56,11.39,7.67,2.27,63.15,9.14,7.3,2.45,4.43,7.53,9.54,6.92,5.35,9.41,3.58,3.72,8.91,5.4,6.58
2017.08.05,oceanic whitetip shark,5.34,11.33,7.81,3.63,1.84,26.27,17.27,6.4,7.39,3.84,3.67,10.38,9.8,17.96,23.75,2.77,2.08,9.04,2.06,6.08
2017.08.01,white shark,8.29,6.68,4.38,11.8,1.33,33.73,9.85,7.51,5.76,2.96,4.55,14.5,3.12,12.84,21.6,1.77,2.27,7.52,4.92,6.1
2017.07.23.b,sandtiger shark,2.05,5.17,14.86,8.55,3.06,39.05,6.49,9.62,4.26,2.46,5.92,14.03,4.37,5.52,21.12,3.51,2.92,2.44,5.19,3.5
2017.07.23.a,blue shark,2.0,9.93,8.17,12.2,4.8,91.02,17.87,5.07,9.65,7.61,8.31,5.88,5.4,11.64,28.67,3.63,3.56,8.8,5.27,2.24
2017.07.20.b,white shark,4.9,12.59,5.99,14.0,3.84,48.0,11.75,7.88,3.54,1.16,6.98,7.2,7.51,13.13,21.9,4.0,1.99,3.29,2.05,6.54
2017.07.20.a,white shark,6.58,8.85,4.65,9.8,1.5,97.96,19.55,8.63,9.4,5.01,2.19,7.43,6.8,8.87,5.27,5.2,1.73,2.56,4.41,4.62
2017.07.14.b,white shark,2.61,13.58,10.08,10.42,1.96,28.2,7.32,7.21,8.74,6.77,3.57,17.75,6.53,16.16,19.94,5.41,2.92,6.38,3.23,5.41
2017.07.11,white shark,1.33,13.25,5.76,4.92,4.39,53.71,8.53,7.05,3.62,7.02,3.55,17.62,9.64,16.36,15.06,1.46,1.35,8.87,1.64,4.88
2017.07.09,bull shark,6.42,7.38,11.12,5.38,2.04,28.11,9.1,3.58,7.51,4.76,9.49,9.37,7.36,14.41,7.14,1.61,3.49,9.6,4.43,3.19
2017.07.07.R,tiger shark,7.35,8.53,8.16,3.04,1.5,90.1,11.34,6.23,2.16,1.85,8.83,16.66,3.23,9.04,7.69,1.7,3.37,3.1,4.89,6.33
2017.07.07,white shark,2.5,13.69,2.8,7.64,3.65,34.55,12.77,4.24,8.13,6.94,3.6,19.23,7.81,12.75,7.18,5.37,3.41,6.98,1.68,2.84
2017.06.18.b,bull shark,8.35,6.24,3.81,1.73,3.83,60.3,19.88,3.68,2.24,6.67,5.17,11.02,8.71,15.59,24.84,5.79,3.18,7.31,4.57,5.99
2017.06.18.a,bull shark,3.6,8.88,11.84,3.98,1.42,92.74,12.55,2.04,9.02,5.32,5.15,9.1,8.23,8.88,14.98,5.81,3.66,6.19,2.39,7.73
2017.06.11,white shark,9.81,14.72,7.49,4.9,3.99,74.46,14.09,8.78,2.6,1.13,7.96,15.67,9.81,10.16,8.61,2.02,1.37,2.45,1.32,5.95
2017.06.10.b,sevengill shark,2.31,7.25,5.01,13.92,3.46,72.13,10.46,7.69,4.79,6.73,3.53,10.14,7.44,12.52,21.74,5.99,1.93,6.08,3.99,3.04
2017.06.02,tiger shark,5.17,8.81,5.08,14.51,3.19,43.81,6.65,6.49,3.22,4.68,6.43,6.03,9.41,18.0,12.08,4.51,2.23,3.03,3.44,2.87
2017.05.28,tiger shark,7.32,8.65,10.22,14.16,2.49,97.96,7.69,8.06,5.2,2.99,5.28,18.26,3.29,13.53,13.33,5.38,2.26,5.38,1.61,5.8
2017.04.17.a,white shark,4.91,9.7,4.33,8.6,3.16,30.67,16.27,3.54,6.2,7.76,3.14,10.26,2.42,13.06,11.29,3.77,3.54,6.82,3.49,7.18
2017.04.14,tiger shark,5.63,12.98,7.15,1.53,4.85,27.18,17.04,6.72,2.42,4.28,7.8,11.01,3.11,8.5,23.69,3.08,3.72,2.13,2.39,5.73
2017.04.02.a,bull shark,6.34,13.61,6.05,11.18,1.53,53.07,12.95,9.39,9.83,4.53,7.43,14.56,5.42,13.48,11.06,5.36,1.63,4.89,3.65,3.81
2017.03.18,white shark,9.0,7.43,10.33,12.45,3.7,49.32,11.05,5.86,5.72,1.93,7.72,11.29,6.17,10.79,6.3,1.12,2.42,8.77,1.88,5.17
2017.03.09,lemon shark,5.28,13.52,4.58,3.72,1.7,38.47,15.23,6.37,9.27,4.89,7.81,19.98,4.36,8.3,10.01,1.59,3.87,5.1,3.7,3.64
2017.03.01,nurse shark,4.43,9.75,10.64,5.42,2.91,27.31,5.76,6.92,8.31,3.11,4.79,15.67,9.57,10.45,28.45,1.28,2.7,9.07,5.48,4.47
2017.02.25,bull shark,7.26,6.5,13.34,2.65,4.82,44.6,17.72,2.95,7.86,7.21,6.15,7.91,5.61,14.55,24.92,3.58,1.39,3.78,3.36,7.76
2017.02.06.b,lemon shark,2.23,13.03,4.05,12.87,1.97,47.08,7.37,5.43,6.05,7.3,8.07,13.93,8.76,11.84,27.36,1.25,2.76,9.61,5.3,6.06
2017.02.06.a,tiger shark,7.01,10.79,9.43,10.38,4.99,26.05,13.25,5.19,7.63,6.4,5.83,19.05,6.61,10.03,10.07,5.33,1.22,3.12,4.94,6.82
2017.02.01.b,white shark,8.48,14.56,14.45,14.47,1.36,35.66,5.43,8.72,8.84,7.87,2.01,8.33,5.15,15.62,15.88,2.14,2.39,3.01,5.27,3.41
2017.02.01.a,caribbean reef shark,7.5,10.03,9.55,6.17,1.98,22.56,18.88,4.82,8.66,4.02,7.01,8.97,5.36,13.76,16.23,3.02,2.38,2.99,1.36,3.84
2017.01.21,bull shark,7.88,13.55,10.52,6.85,2.41,71.8,19.77,4.37,9.87,2.48,7.01,13.3,3.75,17.0,11.81,2.96,2.61,7.05,3.29,2.15
2017.01.09,bull shark,5.84,5.29,6.98,1.7,2.71,75.58,14.3,6.18,6.18,7.17,9.05,15.98,6.38,18.83,19.18,4.67,1.35,3.95,5.88,7.32
2017.01.08.R,bull shark,1.89,14.56,3.71,3.54,3.78,22.13,17.88,7.18,4.28,6.82,2.7,18.04,7.11,8.13,20.01,5.25,3.63,6.07,2.36,3.67
2016.12.19,white shark,5.38,11.14,8.74,14.39,4.23,74.05,6.16,5.1,9.61,5.98,3.08,19.78,7.49,13.46,14.78,4.1,3.4,6.02,4.95,7.42
2016.12.06,wobbegong shark,1.87,7.06,9.97,4.66,2.58,60.45,7.5,9.88,6.93,1.14,6.74,15.51,9.85,19.15,6.48,3.5,2.13,7.97,1.32,5.31
2016.12.01,white shark,9.01,14.66,9.52,4.87,2.98,46.33,17.28,6.72,8.97,3.94,3.41,19.97,6.69,15.94,25.99,5.01,3.47,2.95,1.25,5.25
2016.11.28,broadnose sevengill shark,1.45,8.43,14.39,2.38,2.39,70.74,8.13,8.91,3.76,4.4,8.84,15.08,9.47,15.15,26.61,5.89,1.39,9.11,3.67,4.39
2016.11.14,tiger shark,9.21,5.79,10.92,10.65,3.57,37.03,7.7,6.32,7.65,7.07,2.66,6.97,6.98,16.47,14.11,2.76,3.49,6.52,5.78,7.92
2016.10.13.R,white shark,6.37,11.98,8.6,6.69,1.53,43.45,13.55,4.28,6.55,2.69,5.54,15.99,7.36,17.81,22.82,2.82,3.18,6.09,5.65,6.8
